naziv,stanje,cena
Lezaj 2209 FLT,7,544
"Lezaj 2209 GPZ,IKL",10,790
Lezaj 2209 TVH FAG,14,2990
Lezaj 2209 K TVH C3 FAG,2,2990
Lezaj 2210         ,2,
Lezaj 2210 TVH FAG,15,3340
Lezaj 2210 2RS         ,1,
Lezaj 2210 2RS TVH FAG,4,4080
Lezaj 2210 K,1,
Lezaj 2211 FLT,5,1259
Lezaj 2211 TVH FAG,15,4080
Lezaj 2211 MGM,3,2120
Lezaj 2211 2RS,4,
Lezaj 2211 2RS TVH FAG,1,
Lezaj 2211 KTVH C3 FAG,4,4080
"Lezaj 2212 flt, mgm      ",26,1523
Lezaj 2212 TVH FAG,6,4980
Lezaj 2212 2RS TVH FAG ,1,6080
Lezaj 2212 K flt,8,1618
Lezaj 2213 -         ,1,1725
Lezaj 2213 TVH FAG,6,6120
Lezaj 2213-,2,2710
"Lezaj 2213 K MGM,ZKL",1,1809
Lezaj 2214 mgm,12,1774
"Lezaj 2216 GPZ,ZKL     ",13,4368
Lezaj 2216-        ,1,4368
Lezaj 2216 K zkl,1,4368
Lezaj 2217 gpz         ,4,5040
Lezaj 2218 K gpz,5,5600
Lezaj 2218  gpz,1,8400
Lezaj 2219 K zkl,1,8736
Lezaj 2220 K zkl      ,1,8010
Lezaj 2302 2RS TVH FAG,45,2550
Lezaj 2303 FAG,9,
Lezaj 2303 2RS TVH FAG,6,2530
Lezaj 2304 FAG,13,2100
"Lezaj 2305 urb,mgm,gpz",20,688
Lezaj 2305 TVH FAG,8,2610
"Lezaj 2305 K zps,ddr,wbf",9,670
Lezaj 2306 zkl        ,3,1480
Lezaj 2306 TVH FAG,8,3270
Lezaj 2306 + mgm,2,531
Lezaj 2307 flt         ,2,647
Lezaj 2307 mgm         ,4,944
Lezaj 2307 TVH FAG,10,3790
Lezaj 2307 2RS TVH FAG,5,4650
Lezaj 2308 nn       ,8,1232
Lezaj 2308 TVH FAG,7,4500
"Lezaj 2308 gpz,zkl",2,1848
Lezaj 2309 gpz        ,1,1900
Lezaj 2309 TVH FAG,1,5610
Lezaj 2310 gpz,5,1837
Lezaj 2310 TVH FAG,10,7480
Lezaj 2310 KTVH C3 FAG,5,7480
"Lezaj 2311 gpz, mgm        ",11,3040
Lezaj 2311 TVH FAG,9,9500
Lezaj 2311 K gpz      ,3,3040
Lezaj 2312 gpz ,6,3909
Lezaj 2312 TVH FAG,2,11710
Lezaj 2312 -gpz,1,4301
Lezaj 2312 K gpz,3,3909
Lezaj 2313 gpz        ,7,4497
Lezaj 2313 TVH FAG,4,17860
Lezaj 2313 K gpz,2,4945
Lezaj 2314 gpz        ,2,3777
Lezaj 2316 urb         ,4,6160
Lezaj 3200 BTVH FAG   ,15,1800
Lezaj 3201 BTVH FAG       ,16,1820
Lezaj 3201 2RS kg,5,360
"Lezaj 3202 wbf, zkl ",3,297
Lezaj 3202 BTVH FAG  ,15,1830
Lezaj kugl. 3202 -,8,650
Lezaj 3202 2RS,2,
Lezaj 3202 B 2RS TVH FAG,9,2240
Lezaj 3203 BTVH FAG ,19,1910
Lezaj 3203 + kj,3,340
Lezaj 3203 2RS ,11,
Lezaj 3203 B 2RS TVH FAG,14,2170
Lezaj 3204 BTVH FAG,11,1960
Lezaj 3204 2RS,5,
Lezaj 3204 B 2RS TVH FAG,7,2290
Lezaj 3205 BTVH FAG      ,2,2050
Lezaj 3205 2RS,2,
Lezaj 3205 B 2RS TVH FAG,22,2400
Lezaj 3206 gpz        ,8,
Lezaj kugl. 3206  -,7,
Lezaj 3206 BTVH FAG,7,2450
Lezaj 3206 - flt      ,428,960
Lezaj 3206 B 2RS TVH FAG   ,23,2870
Lezaj 3207 whx        ,9,645
Lezaj kugl. 3207 -,12,941
Lezaj 3207 BTVH FAG,17,2900
Lezaj 3207 B.2RS.TVH FAG,14,3480
Lezaj 3208 BTVH FAG     ,19,3710
Lezaj 3208 + kg,1,875
Lezaj 3208 2RS,2,
Lezaj 3208 B 2RS TVH FAG,9,4280
Lezaj 3209 BTVH FAG      ,17,4280
Lezaj kugl. 3209 -,6,2162
Lezaj 3209 2RS,2,
Lezaj 3210 WBW,2,1163
Lezaj kugl. 3210 URB,3,1693
Lezaj 3210 BTVH FAG    ,13,4610
Lezaj 3210 B 2RS TVH FAG,15,5550
Lezaj 3211 BTVH FAG    ,8,5650
Lezaj 3211 B.2RS TVH FAG,2,6700
Lezaj 3212 BTVH FAG,10,7420
Lezaj 3213 BTVH FAG,3,9100
Lezaj 3214 zkl        ,2,4100
Lezaj 3214 BTVH FAG   ,2,10470
Lezaj 3214 K zkl         ,1,5460
Lezaj 3215 BTVH FAG,4,11620
Lezaj 3216 BTVH FAG,2,13430
Lezaj 3217 FAG,2,16570
Lezaj 3217 + urb,3,4543
Lezaj 3302 kbs,6,430
Lezaj 3302 BTVH FAG,8,2330
Lezaj 3303 zkl        ,14,1263
Lezaj 3303 BTVH FAG,7,2480
Lezaj kugl. 3303 -,52,991
Lezaj 3303 B 2RS TVH FAG,5,2980
Lezaj 3304 ,2,
Lezaj 3304 BTVH FAG,12,2640
Lezaj 3305 zkl     ,2,
Lezaj kugl. 3305 -,1,1640
Lezaj 3305 BTVH FAG      ,11,3140
Lezaj 3305 BD ZZ TVH FAG,8,3580
Lezaj 3305 B 2RS TVH FAG,10,3690
Lezaj 3306         ,2,
Lezaj 3306 BTVH FAG,10,3760
Lezaj 3307        ,2,
Lezaj kugl. 3307 -        ,4,1400
Lezaj 3307 BTVH FAG,11,4400
Lezaj 3308,2,
Lezaj 3308 BTVH FAG,11,5550
Lezaj 3308 B.2RS.TVH FAG,9,6630
Lezaj 3309         ,2,
Lezaj 3309 BTVH FAG,13,6900
Lezaj 3309 BD 2RS TVH FAG,5,8100
Lezaj 3310         ,1,
Lezaj 3310 BTVH FAG   ,11,8540
Lezaj 3310.,1,
Lezaj 3311 BTVH FAG,4,10660
Lezaj 3311 BD 2RS TVH FAG,2,16850
Lezaj 3312 zkl       ,8,8520
Lezaj 3312 D FAG ,8,13030
Lezaj 3312 C zkl,2,8523
Lezaj 3313 C       ,1,8670
Lezaj 3313 BTVH FAG,2,16620
Lezaj 3314 BTVH FAG,4,19740
Lezaj 3315 FAG,1,25510
Lezaj 4200 ATN9 SKF,1,1490
Lezaj 4201 BB TVH FAG,4,1490
Lezaj 4202 BB TVH FAG,12,1550
Lezaj 4203 BB TVH FAG,6,1680
Lezaj 4204 BB TVH FAG,9,1750
Lezaj 4205 BB TVH FAG,8,1860
Lezaj 4206 BB TVH FAG,10,2160
Lezaj 4207 BB TVH FAG,6,2660
Lezaj 4208 BB TVH FAG,7,3070
Lezaj 4209 BB TVH FAG,10,3440
Lezaj 4210 BB TVH FAG,8,3910
Lezaj 4210 FAG.,1,
Lezaj 4211 BB TVH FAG,5,5700
Lezaj 4212 BB TVH FAG,2,6730
Lezaj 4302 BB TVH FAG,2,2140
Lezaj 4303 BB TVH FAG,2,2320
Lezaj 4304 BB TVH FAG,5,2310
Lezaj 4305 BB TVH FAG,3,2640
Lezaj 4306 BB TVH FAG,6,3170
Lezaj 4307 BB TVH FAG,4,3780
Lezaj 4308 BB TVH FAG,2,4780
Lezaj 4309 BB TVH FAG,3,9570
Lezaj 4310 BB TVH FAG,3,9740
Lezaj 4311 BB TVH FAG,1,12430
Lezaj 4312 BB TVH FAG,1,15300
Lezaj 4313 FAG,8,21840
Lezaj 4316 BB TVH FAG,2,28900
Lezaj 605 ZZ Fag,7,610
Lezaj 606 ZZ       ,12,
Lezaj 607 ZZ  ,12,
Lezaj 607 ZZ C3 Fag  ,159,210
Lezaj 607 2RS      ,10,
Lezaj 607 2RS FAG,206,240
Lezaj 608 ZZ FAG     ,308,210
Lezaj 608 2RS WBW,56,40
Lezaj 608 2RS FAG     ,156,240
Lezaj 609 ZZ,24,
Lezaj 609 ZZ C3 FAG,206,220
Lezaj 609 2RS ,16,
Lezaj 609 2RS C3 FAG,231,240
Lezaj 623 NMB     ,4,39
Lezaj 623 ZZ FAG          ,96,270
Lezaj 624 NMB          ,28,109
Lezaj 624 ZZ FAG     ,129,240
Lezaj 624 2RS NMB,26,28
Lezaj 625 ZZ FAG   ,28,210
Lezaj 625 2RS HLC FAG      ,309,240
Lezaj kugl. 626 ZZ  ,50,
Lezaj 626 ZZ C3 FAG      ,283,210
Lezaj 626 2RS    ,50,
Lezaj 626 2RS C3 FAG ,259,240
Lezaj 627 Z NMB       ,11,257
Lezaj 627 ZZ  ,23,
Lezaj 627 ZZ FAG,270,210
Lezaj 627 2RS,5,
Lezaj 627 2RS C3 FAG,180,230
Lezaj 628 2RS NMB,5,90
Lezaj 628 2RS FAG,7,
Lezaj 629 GPZ        ,119,90
Lezaj 629 ZZ       ,20,
Lezaj 629 ZZ FAG,33,220
Lezaj 629 2RS          ,19,
Lezaj 629 2RS FAG,33,250
Lezaj 634 ZZ FAG,9,280
Lezaj 635 ZZ FAG,9,240
Lezaj 638 ZZ ,10,100
Lezaj 618/4 2RS WBW,8,90
Lezaj 618/5 2RS WBW,30,90
Lezaj 618/6 2RS WBW,7,90
Lezaj 618/7 2RS WBW,30,90
Lezaj 618/8 ZZ WBW,4,90
Lezaj 618/8 2RS WBW,30,90
Lezaj 618/9 ZZ WBW,38,90
Lezaj 618/9 2RS WBW,1,
Lezaj 619/3 2RS WBW,16,90
Lezaj 619/4 2RS WBW,26,90
Lezaj 619/5 2RS WBW,9,90
Lezaj 619/6 2RS WBW ,13,90
Lezaj 619/7 2RS WBW,7,90
Lezaj 619/8 ZZ WBW ,3,90
Lezaj 619/8 2RS WBW ,30,90
Lezaj 619/9 2RS WBW,12,90
Lezaj 6000 ZZ      ,29,
Lezaj 6000 ZZ C FAG,272,230
Lezaj 6000 2RS ,31,
Lezaj 6000 2RS C FAG,312,260
Lezaj 6000 2RS C3 FAG,50,260
Lezaj 6001 ZZ WBW     ,20,42
Lezaj 6001 ZZ FAG,160,240
Lezaj 6001 2RS ,9,
Lezaj 6001 2RS FAG,55,280
Lezaj 6001 2Z C3 FAG,39,240
Lezaj 6002         ,7,90
Lezaj 6002 Z SKF,1,100
Lezaj 6002 ZZ      ,32,
Lezaj 6002 ZZ C3 FAG     ,108,270
Lezaj 6002 2RS     ,31,
Lezaj 6002 2RS FAG,154,300
Lezaj 6003 ZZ      ,21,
Lezaj 6003 ZZ C3 FAG      ,164,280
Lezaj 6003 2RS     ,38,
Lezaj 6003 2RS C3 FAG,431,320
Lezaj 6004 ZZ      ,21,
Lezaj 6004 ZZ C3 FAG     ,275,310
Lezaj 6004 TB FAG,6,1530
Lezaj 6004 2RS     ,14,
Lezaj 6004 2RS C3 FAG,293,350
Lezaj 6005 SKF        ,1,400
Lezaj 6005 ZZ      ,20,
Lezaj 6005 ZZ FAG    ,393,360
Lezaj 6005 2RS     ,17,
Lezaj 6005 2RS C3 FAG,120,400
Lezaj S 6005 2RS FAG,20,2520
Lezaj 6006 IKL       ,3,190
Lezaj 6006 ZZ      ,5,
Lezaj 6006 ZZ FAG,187,440
Lezaj 6006 TBP 63 FAG,3,2500
Lezaj 6006 2RS     ,25,
Lezaj 6006 2RS FAG,301,490
Lezaj 6007 ZZ     ,25,
Lezaj 6007 ZZ C3 FAG,247,540
Lezaj 6007 2RS     ,20,
Lezaj 6007 2RS FAG,310,610
Lezaj 6008 -         ,4,295
Lezaj 6008  ZZ     ,27,
Lezaj 6008 ZZ C3 FAG,95,680
Lezaj 6008 MA C3 FAG,13,3320
Lezaj 6008 TBP 63 FAG,12,2620
Lezaj 6008 2RS IKL    ,49,385
Lezaj 6008 2RS FAG     ,107,760
Lezaj 6009 URB        ,5,290
Lezaj 6009 ZZ    ,8,
Lezaj 6009 ZZ FAG,153,870
Lezaj 6009 TBP 63 FAG,2,3220
Lezaj 6009 2RS     ,24,
Lezaj 6009 2RS FAG     ,133,990
Lezaj 6010 ZZ,10,1200
Lezaj 6010 ZZ FAG    ,78,1010
Lezaj 6010 2RS WBW,30,
Lezaj 6010 2RS FAG,6,1150
Lezaj 6010 N GPZ,1,395
Lezaj 6010 2RSR C3 FAG,86,1150
Lezaj 6011 ZZ      ,5,
Lezaj 6011 ZZ FAG,82,1290
Lezaj 6011 2RS ,5,
Lezaj 6011 2RS FAG,52,1460
Lezaj 6012 ZZ      ,5,
Lezaj 6012 ZZ FAG,41,1480
Lezaj 6012 FAG ,3,
Lezaj 6012 2RS FAG,59,1680
Lezaj 6013 -         ,9,700
Lezaj 6013 Z C3 SKF,5,2720
Lezaj 6013 ZZ      ,5,
Lezaj 6013 ZZ FAG,14,2530
Lezaj 6013 TBP 63 FAG,2,6530
Lezaj 6013 2RS      ,5,
Lezaj 6013 2RS FAG    ,11,2780
Lezaj 6014 ZZ FAG,24,3210
Lezaj 6014 2RS FAG,14,3510
Lezaj 6015 -         ,4,800
Lezaj 6015 ZZ DPI     ,1,815
Lezaj 6015 ZZ FAG,32,3660
Lezaj 6015 2RS   ,2,
Lezaj 6015 2RS FAG  ,29,4535
Lezaj 6016 ZZ FAG,18,4480
Lezaj 6016 2RS C3 FAG,10,4880
Lezaj 6017 ZZ FAG,18,5000
Lezaj 6017 2RS FAG,24,5650
Lezaj 6018 GPZ       ,6,1650
Lezaj 6018 ZZ FAG        ,16,5950
Lezaj 6018 2RS FAG        ,9,6730
Lezaj 6019 ZZ FAG,11,7050
Lezaj 6020 ZZ FAG,3,7580
Lezaj 6021 ZZ FAG      ,6,9750
Lezaj 6022 GPZ       ,190,2800
Lezaj 6022 FAG        ,7,8700
Lezaj 6022 ZZ FAG       ,1,11710
Lezaj 6026 -,3,6013
Lezaj 6026 ZZ FAG       ,3,18900
Lezaj 6028 ZZ FAG        ,2,21740
Lezaj 6030 FLT,1,10133
Lezaj 6030 FAG,2,21210
Lezaj 6034 FAG,2,37070
Lezaj 6036 M FAG,1,50760
Lezaj 6038 GPZ         ,2,13930
Lezaj 6200 ZZ      ,30,
Lezaj 6200 ZZ FAG,193,230
Lezaj 6200 2RS     ,30,
Lezaj 6200 2RS FAG     ,193,260
Lezaj 6201 FAG       ,72,210
Lezaj 6201 Z TVH FAG,8,380
Lezaj 6201 ZZ -,3,
Lezaj 6201 ZZ FAG,324,240
Lezaj 6201 2RS     ,27,
Lezaj 6201 2RS FAG,37,270
Lezaj 6202 IKL       ,75,133
Lezaj 6202 K GPZ        ,5,68
Lezaj 6202 Z ZKL     ,2,70
Lezaj 6202 Z TVH FAG,15,400
Lezaj 6202 ZZ,8,
Lezaj 6202 ZZ FAG   ,51,260
Lezaj 6202 ZZ BHTS 280' BECO,2,1390
Lezaj 6202 2RS     ,29,
Lezaj 6202 2RS FAG,1,290
Lezaj 6203 ZZ WBW     ,19,
Lezaj 6203 ZZ FAG,816,290
Lezaj 6203 TB P63 FAG,9,2150
Lezaj 6203 2RS/19 IKL     ,73,85
Lezaj 6203 2RS FAG,1,320
Lezaj 6203 2RS WBW,20,
Lezaj 6203 BHTS ZZ 280 ,1,
Lezaj 6203 2RS C3 FAG,9,
Lezaj 6204 TVH C3 FAG,20,470
Lezaj 6204 ZZ WBW      ,41,85
Lezaj 6204 ZZ FAG,81,330
Lezaj 6204 TB P63 FAG,9,3160
Lezaj 6204 2RS.     ,20,85
Lezaj 6204 2RS FAG,246,380
Lezaj 6204 BHTS ZZ 280 FAG,2,
Lezaj 6204 ZZ C3 FAG,168,330
Lezaj 6204 2HRS C3 FAG,48,380
Lezaj 6205 ZZ WBW     ,24,100
Lezaj 6205 ZZ C3 FAG,187,390
Lezaj 6205 TB P63 FAG,6,4580
Lezaj 6205 2RS     ,34,
Lezaj 6205 2RS FAG,89,440
Lezaj 6205 BHTS ZZ 280 FAG,1,
Lezaj 6205 2RS NACHI,87,325
Lezaj 6206 URB      ,4,140
Lezaj 6206 TVH C3 FAG,5,890
Lezaj 6206 ZZ,14,135
Lezaj 6206 ZZ FAG     ,300,520
Lezaj 6206 M FAG,8,5560
Lezaj 6206 TB P63 FAG,5,4310
Lezaj 6206 2RS     ,20,
Lezaj 6206 2RS FAG,267,590
Lezaj 6206 ZZ C3 FAG,258,520
Lezaj 6206 2RS C3 FAG,206,590
Lezaj 6207 ZZ WBW    ,29,180
Lezaj 6207 ZZ FAG,21,680
Lezaj 6207 TB P63 FAG,4,6200
Lezaj 6207 2RS     ,20,
Lezaj 6207 2RS FAG,10,770
Lezaj 6207 ZZ C3 FAG,15,680
Lezaj 6207 2RS C3 FAG,189,770
Lezaj 6207 ZZC3 NACHI,46,500
Lezaj 6208 +,18,250
Lezaj 6208 ZZ     ,15,
Lezaj 6208 ZZ FAG,38,910
Lezaj 6208 TBP 63 FAG,6,6670
Lezaj 6208 2RS     ,15,
Lezaj 6208 2RS FAG,39,1020
Lezaj 6209 ZZ     ,23,1400
Lezaj 6209 ZZ  FAG,65,1100
Lezaj 6209 2RS,15,
Lezaj 6209 2RS FAG,131,1250
Lezaj 6209 ZZ C3 FAG,34,1100
Lezaj 6209 2RS C3,70,1250
Lezaj 6210 ZZ      ,9,
Lezaj 6210 ZZ FAG,62,1310
Lezaj 6210 TBP 63 FAG,2,8520
Lezaj 6210 2RS     ,12,
Lezaj 6210 2RS FAG,36,1480
Lezaj 6210 ZZ C3 FAG,34,1300
Lezaj 6210 2RS C3 FAG,82,1480
Lezaj 6210 2RSC3 NACHI,30,1085
Lezaj 6211 ZZ WBW,6,
Lezaj 6211 ZZ FAG      ,88,1550
Lezaj 6211 2RS WBW,9,
Lezaj 6211 2RS FAG,81,1750
Lezaj 6212 ZZ     ,5,
Lezaj 6212 ZZ FAG       ,72,1920
Lezaj 6212 2RSR     ,5,
Lezaj 6212 2RS FAG,79,2170
Lezaj 6213 ZZ FAG,39,3740
Lezaj 6213 2RS FAG,56,4110
Lezaj 6213  ZZ C3 FAG,7,3740
Lezaj 6214 -         ,25,1263
Lezaj 6214 ZZ FAG,15,4300
Lezaj 6214 2RS FAG,11,4580
Lezaj 6214 ZN ZKL,2,1498
Lezaj 6214 2RS C3 FAG,5,4580
Lezaj 6215 ZZ FAG,14,5100
Lezaj 6215 M C3 FAG,6,13940
Lezaj 6215 2RS FAG,14,5400
Lezaj 6215 2RS C3 FAG,5,5400
Lezaj 6216-,2,1546
Lezaj 6216 Z URB,4,1546
Lezaj 6216 ZZ -      ,4,1669
Lezaj 6216 ZZ FAG,8,5950
Lezaj 6216 2RS FAG   ,14,6330
Lezaj 6216  ZZ C3 FAG,5,5950
Lezaj 6216 2RSC3 FAG,10,6330
Lezaj 6217 ZZ FAG,9,7250
Lezaj 6217 2RS FAG  ,4,8190
Lezaj 6218 -,11,2022
Lezaj 6218  -,8,2022
Lezaj 6218 ZZ FAG,8,8950
Lezaj 6218 2RS FLT    ,2,2287
Lezaj 6218 2RS FAG,10,10100
Lezaj 6218 N URB,4,2033
Lezaj 6219 FAG,4,10467
Lezaj 6219 ZZ FAG,3,11060
Lezaj 6220 ZZ FAG,6,12380
Lezaj 6221         ,1,2675
Lezaj 6221 -         ,11,3873
Lezaj 6221 FAG      ,4,13310
Lezaj 6221 ZKL        ,5,6955
Lezaj 6222 GPZ,3,3531
Lezaj 6222 FAG,2,15630
Lezaj 6222 ZKL,2,4168
